382268	`202520260AB319`	`A`	`ABPCA`	`CX11`	`Assembly Human Services`	`Jackson`	2025-03-07 17:28:22	2025-01-24 00:00:00	NULL	BILL_ANALYSIS_TBL_22.lob	`Y`	`Y`	`zupanto`	2025-03-07 17:28:22
382206	`202520260AB32`	`A`	`ABPCA`	`CX18`	`Assembly Public Safety`	`Soria`	2025-03-03 09:27:30	2024-12-02 00:00:00	NULL	BILL_ANALYSIS_TBL_23.lob	`Y`	`Y`	`potterel`	2025-03-03 09:27:30
382269	`202520260AB320`	`A`	`ABPCA`	`CX11`	`Assembly Human Services`	`Bennett`	2025-03-07 17:28:36	2025-01-24 00:00:00	NULL	BILL_ANALYSIS_TBL_24.lob	`Y`	`Y`	`zupanto`	2025-03-07 17:28:36
382212	`202520260AB321`	`A`	`ABPCA`	`CX18`	`Assembly Public Safety`	`Schultz`	2025-03-03 09:28:36	2025-01-24 00:00:00	NULL	BILL_ANALYSIS_TBL_25.lob	`Y`	`Y`	`potterel`	2025-03-03 09:28:36
382213	`202520260AB327`	`A`	`ABPCA`	`CX18`	`Assembly Public Safety`	`Ta`	2025-03-03 09:28:46	2025-01-27 00:00:00	NULL	BILL_ANALYSIS_TBL_26.lob	`Y`	`Y`	`potterel`	2025-03-03 09:28:46
382245	`202520260AB330`	`A`	`ABPCA`	`CX19`	`Assembly Revenue and Taxation`	`Rogers`	2025-03-07 14:27:44	2025-01-27 00:00:00	NULL	BILL_ANALYSIS_TBL_27.lob	`Y`	`Y`	`highlasl`	2025-03-07 14:27:44
382214	`202520260AB336`	`A`	`ABPCA`	`CX18`	`Assembly Public Safety`	`Wallis`	2025-03-03 09:28:58	2025-01-28 00:00:00	NULL	BILL_ANALYSIS_TBL_28.lob	`Y`	`Y`	`potterel`	2025-03-03 09:28:58
382193	`202520260AB343`	`A`	`ABPCA`	`CX13`	`Assembly Judiciary`	`Pacheco`	2025-02-27 16:22:41	2025-01-29 00:00:00	NULL	BILL_ANALYSIS_TBL_29.lob	`Y`	`Y`	`morantcm`	2025-02-27 16:22:41
382215	`202520260AB355`	`A`	`ABPCA`	`CX18`	`Assembly Public Safety`	`Sanchez`	2025-03-03 09:29:08	2025-01-30 00:00:00	NULL	BILL_ANALYSIS_TBL_30.lob	`Y`	`Y`	`potterel`	2025-03-03 09:29:08
382241	`202520260AB370`	`A`	`ABPCA`	`CX13`	`Assembly Judiciary`	`Carrillo`	2025-03-07 11:16:25	2025-02-03 00:00:00	NULL	BILL_ANALYSIS_TBL_31.lob	`Y`	`Y`	`morantcm`	2025-03-07 11:16:25
