`20250AB102499INT`	`Legislator`	`ASSEMBLY`	`Harabedian`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:06:33	`Y`
`20250AB102599INT`	`Legislator`	`ASSEMBLY`	`Pellerin`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:07:44	`Y`
`20250AB102699INT`	`Legislator`	`ASSEMBLY`	`Wilson`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:08:42	`Y`
`20250AB102699INT`	`Legislator`	`ASSEMBLY`	`Wicks`	`COAUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:08:42	`N`
`20250AB102799INT`	`Legislator`	`ASSEMBLY`	`Sharp-Collins`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:09:44	`Y`
`20250AB102899INT`	`Legislator`	`ASSEMBLY`	`Fong`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:13:17	`Y`
`20250AB102999INT`	`Legislator`	`ASSEMBLY`	`Valencia`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:14:34	`Y`
`20250AB102999INT`	`Legislator`	`SENATE`	`McNerney`	`COAUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:14:34	`N`
`20250AB10299INT`	`Legislator`	`ASSEMBLY`	`Gabriel`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-01-08 15:44:14	`Y`
`20250AB103099INT`	`Legislator`	`ASSEMBLY`	`Papan`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:15:26	`Y`
`20250AB103199INT`	`Legislator`	`ASSEMBLY`	`Jeff Gonzalez`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:15:46	`Y`
`20250AB103299INT`	`Legislator`	`ASSEMBLY`	`Harabedian`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:16:50	`Y`
`20250AB103299INT`	`Legislator`	`ASSEMBLY`	`Rivas`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:16:50	`N`
`20250AB103399INT`	`Legislator`	`ASSEMBLY`	`Lackey`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:17:46	`Y`
`20250AB103499INT`	`Legislator`	`ASSEMBLY`	`Ávila Farías`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:18:56	`Y`
`20250AB103599INT`	`Legislator`	`ASSEMBLY`	`Mark González`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:19:36	`Y`
`20250AB103699INT`	`Legislator`	`ASSEMBLY`	`Schultz`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:20:46	`Y`
`20250AB103799INT`	`Legislator`	`ASSEMBLY`	`Elhawary`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:21:07	`Y`
`20250AB103899INT`	`Legislator`	`ASSEMBLY`	`Hadwick`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:22:37	`Y`
`20250AB103999INT`	`Legislator`	`ASSEMBLY`	`Hart`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:23:10	`Y`
`20250AB10399INT`	`Legislator`	`ASSEMBLY`	`Gabriel`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-01-08 15:44:50	`Y`
`20250AB104099INT`	`Legislator`	`ASSEMBLY`	`Essayli`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:24:17	`Y`
`20250AB104199INT`	`Legislator`	`ASSEMBLY`	`Bennett`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:24:57	`Y`
`20250AB104199INT`	`Legislator`	`ASSEMBLY`	`Addis`	`COAUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:24:57	`N`
`20250AB104299INT`	`Legislator`	`ASSEMBLY`	`Ransom`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:25:41	`Y`
`20250AB104399INT`	`Legislator`	`ASSEMBLY`	`Wicks`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:26:49	`Y`
`20250AB104499INT`	`Legislator`	`ASSEMBLY`	`Macedo`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:27:25	`Y`
`20250AB104599INT`	`Legislator`	`ASSEMBLY`	`Ávila Farías`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:27:53	`Y`
`20250AB104699INT`	`Legislator`	`ASSEMBLY`	`Bains`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:28:23	`Y`
`20250AB104799INT`	`Legislator`	`ASSEMBLY`	`Wallis`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:28:49	`Y`
`20250AB104899INT`	`Legislator`	`ASSEMBLY`	`Chen`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:29:20	`Y`
`20250AB104999INT`	`Legislator`	`ASSEMBLY`	`Celeste Rodriguez`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:29:59	`Y`
`20250AB10499INT`	`Legislator`	`ASSEMBLY`	`Gabriel`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-01-08 15:45:25	`Y`
`20250AB105099INT`	`Legislator`	`ASSEMBLY`	`Schultz`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:30:56	`Y`
`20250AB105199INT`	`Legislator`	`ASSEMBLY`	`Davies`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:31:46	`Y`
`20250AB105299INT`	`Legislator`	`ASSEMBLY`	`Valencia`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:35:15	`Y`
`20250AB105399INT`	`Legislator`	`ASSEMBLY`	`Zbur`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:36:09	`Y`
`20250AB105499INT`	`Legislator`	`ASSEMBLY`	`Gipson`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:36:36	`Y`
`20250AB105599INT`	`Legislator`	`ASSEMBLY`	`Boerner`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:37:32	`Y`
`20250AB105699INT`	`Legislator`	`ASSEMBLY`	`Bennett`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 16:38:16	`Y`
`20250AB105799INT`	`Legislator`	`ASSEMBLY`	`Michelle Rodriguez`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 14:51:06	`Y`
`20250AB105899INT`	`Legislator`	`ASSEMBLY`	`Jeff Gonzalez`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 14:52:40	`Y`
`20250AB105899INT`	`Legislator`	`ASSEMBLY`	`Alanis`	`COAUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 14:52:40	`N`
`20250AB105899INT`	`Legislator`	`ASSEMBLY`	`Castillo`	`COAUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 14:52:40	`N`
`20250AB105899INT`	`Legislator`	`ASSEMBLY`	`Chen`	`COAUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 14:52:40	`N`
`20250AB105899INT`	`Legislator`	`ASSEMBLY`	`Ta`	`COAUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 14:52:40	`N`
`20250AB105899INT`	`Legislator`	`SENATE`	`Choi`	`COAUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 14:52:40	`N`
`20250AB105899INT`	`Legislator`	`SENATE`	`Jones`	`COAUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 14:52:40	`N`
`20250AB105899INT`	`Legislator`	`SENATE`	`Ochoa Bogh`	`COAUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 14:52:40	`N`
`20250AB105999INT`	`Legislator`	`ASSEMBLY`	`Garcia`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 14:53:43	`Y`
`20250AB10599INT`	`Legislator`	`ASSEMBLY`	`Gabriel`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-01-08 15:46:18	`Y`
`20250AB106099INT`	`Legislator`	`ASSEMBLY`	`Ávila Farías`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 14:54:35	`Y`
`20250AB106199INT`	`Legislator`	`ASSEMBLY`	`Quirk-Silva`	`LEAD_AUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 14:55:28	`Y`
`20250AB106199INT`	`Legislator`	`SENATE`	`Wiener`	`COAUTHOR`	NULL	`Y`	`LEG_ESI`	2025-02-20 14:55:28	`N`
